R0302|10001501|     0.5524|     0.5537|            
R0302|10001502|     0.5041|     0.5048|            
R0302|10001503|     0.4553|     0.4558|            
R0302|10001504|     0.4068|     0.4070|            
R0302|10001505|     0.3564|     0.3563|            
R0302|10001506|     0.3079|     0.3081|            
R0302|10001507|     0.2597|     0.2597|            
R0302|10001508|     0.2094|     0.2104|            
R0302|10001509|     0.1611|     0.1611|            
R0302|10001510|     0.0004|     0.0003|            
R0302|10001511|     0.0003|     0.0003|            
R0302|10001512|     0.0003|     0.0003|            
R0302|10001513|     0.0005|     0.0004|            
R0302|10001514|     0.0005|     0.0004|            
R0302|10001515|     0.0005|     0.0005|            
R0302|10001516|     0.0007|     0.0006|            
R0302|10001517|     0.0007|     0.0007|            
R0302|10001518|     0.0013|     0.0013|            
R0302|10001519|     0.6024|     0.6025|            
R0302|10001520|     0.0003|     0.0003|            
R0302|10001521|     0.6541|     0.6529|            
R0302|10001522|     0.0002|     0.0002|            
R0302|10001523|     0.1130|     0.1130|            
R0302|10001524|     0.0027|     0.0027|            
R0302|10001597|     0.6083|     0.6080|            
R0302|10001598|     0.5564|     0.5566|            
R0302|10001599|     0.5066|     0.5066|            
R0302|10001600|     0.4566|     0.4567|            
R0302|10001601|     0.4068|     0.4070|            
R0302|10001602|     0.3563|     0.3563|            
R0302|10001603|     0.3072|     0.3072|            
R0302|10001604|     0.2572|     0.2572|            
R0302|10001605|     0.2082|     0.2082|            
R0302|10001606|     0.0003|     0.0003|            
R0302|10001607|     0.0004|     0.0003|            
R0302|10001608|     0.0004|     0.0003|            
R0302|10001609|     0.0003|     0.0003|            
R0302|10001610|     0.0004|     0.0004|            
R0302|10001611|     0.0004|     0.0004|            
R0302|10001612|     0.0006|     0.0006|            
R0302|10001613|     0.0006|     0.0006|            
R0302|10001614|     0.0009|     0.0009|            
R0302|10001621|     0.1579|     0.1579|            
R0302|10001622|     0.0013|     0.0013|            
R0302|10001629|     0.6550|     0.6573|            
R0302|10001630|     0.0002|     0.0002|            
R0302|10001637|     0.7060|     0.7072|            
R0302|10001638|     0.0003|     0.0002|            
R0302|10001645|     0.7563|     0.7563|            
R0302|10001646|     0.0002|     0.0002|            
R0302|10001671|     0.8075|     0.8075|            
R0302|10001672|     0.0001|     0.0001|            
R0302|10001677|     0.6669|     0.6669|            
R0302|10001678|     0.6215|     0.6215|            
R0302|10001679|     0.5728|     0.5728|            
R0302|10001680|     0.5244|     0.5244|            
R0302|10001681|     0.4765|     0.4765|            
R0302|10001682|     0.4300|     0.4300|            
R0302|10001683|     0.3844|     0.3844|            
R0302|10001684|     0.3407|     0.3407|            
R0302|10001685|     0.2993|     0.2993|            
R0302|10001686|     0.0025|     0.0025|            
R0302|10001687|     0.0030|     0.0030|            
R0302|10001688|     0.0040|     0.0040|            
R0302|10001689|     0.0051|     0.0051|            
R0302|10001690|     0.0071|     0.0071|            
R0302|10001691|     0.0100|     0.0100|            
R0302|10001692|     0.0143|     0.0143|            
R0302|10001693|     0.0201|     0.0201|            
R0302|10001694|     0.0275|     0.0275|            
R0302|10001697|     0.2600|     0.2600|            
R0302|10001698|     0.0385|     0.0385|            
R0302|10001701|     0.2236|     0.2236|            
R0302|10001702|     0.0513|     0.0513|            
R0302|10001707|     0.1094|     0.1094|            
R0302|10001708|     0.0029|     0.0029|            
R0302|10001709|     0.1894|     0.1894|            
R0302|10001710|     0.0678|     0.0678|            
R0302|10001715|     0.0644|     0.0644|            
R0302|10001716|     0.0086|     0.0086|            
R0302|10001717|     0.1595|     0.1595|            
R0302|10001718|     0.0870|     0.0870|            
R0302|10001735|     0.0307|     0.0307|            
R0302|10001736|     0.0118|     0.0118|            
R0302|10001737|     0.0039|     0.0039|            
R0302|10001738|     0.0018|     0.0018|            
R0302|10001739|     0.0239|     0.0239|            
R0302|10001740|     0.0553|     0.0553|            
R0302|10001741|     0.0972|     0.0972|            
R0302|10001742|     0.1442|     0.1442|            
R0302|10001743|     0.1333|     0.1333|            
R0302|10001744|     0.1101|     0.1101|            
R0302|10001745|     0.0892|     0.0892|            
R0302|10001746|     0.0731|     0.0731|            
R0302|10001747|     0.1096|     0.1096|            
R0302|10001748|     0.1368|     0.1368|            
R0302|10001749|     0.1655|     0.1655|            
R0302|10001750|     0.1984|     0.1984|            
R0302|10001799|     0.0006|     0.0006|            
R0302|10001800|     0.2423|     0.2440|            
R0302|10001801|     0.0450|     0.0450|            
R0302|10001802|     0.2706|     0.2706|            
R0302|10001807|     0.0004|     0.0004|            
R0302|10001808|     0.3416|     0.3440|            
R0302|10001809|     0.0292|     0.0292|            
R0302|10001810|     0.3526|     0.3526|            
R0302|10001815|     0.0004|     0.0004|            
R0302|10001816|     0.4413|     0.4440|            
R0302|10001817|     0.0180|     0.0180|            
R0302|10001818|     0.4405|     0.4440|            
R0302|10001823|     0.0002|     0.0002|            
R0302|10001824|     0.5360|     0.5440|            
R0302|10001825|     0.0119|     0.0119|            
R0302|10001826|     0.5333|     0.5440|            
R0302|10001827|     0.2442|     0.2442|            
R0302|10001828|     0.2170|     0.2170|            
R0302|10001829|     0.1914|     0.1914|            
R0302|10001830|     0.1680|     0.1680|            
R0302|10001831|     0.1467|     0.1467|            
R0302|10001832|     0.1275|     0.1275|            
R0302|10001833|     0.0944|     0.0944|            
R0302|10001834|     0.0686|     0.0686|            
R0302|10001835|     0.0508|     0.0508|            
R0302|10001836|     0.1100|     0.1100|            
R0302|10001837|     0.1326|     0.1326|            
R0302|10001838|     0.1558|     0.1558|            
R0302|10001839|     0.1812|     0.1812|            
R0302|10001840|     0.2091|     0.2091|            
R0302|10001841|     0.2386|     0.2386|            
R0302|10001842|     0.3054|     0.3049|            
R0302|10001843|     0.3791|     0.3781|            
R0302|10001844|     0.4580|     0.4580|            
R0302|10001845|     0.2748|     0.2748|            
R0302|10001846|     0.0904|     0.0904|            
R0302|10001847|     0.3472|     0.3414|            
R0302|10001848|     0.3140|     0.3067|            
R0302|10001849|     0.0590|     0.0590|            
R0302|10001850|     0.0738|     0.0738|            
R0302|10001851|     0.3794|     0.3787|            
R0302|10001852|     0.0469|     0.0469|            
R0302|10001853|     0.4176|     0.4172|            
R0302|10001854|     0.0365|     0.0365|            
R0302|10001855|     0.3677|     0.3677|            
R0302|10001856|     0.3178|     0.3179|            
R0302|10001857|     0.2702|     0.2702|            
R0302|10001858|     0.2232|     0.2232|            
R0302|10001859|     0.1788|     0.1788|            
R0302|10001860|     0.1384|     0.1384|            
R0302|10001861|     0.1046|     0.1046|            
R0302|10001862|     0.0753|     0.0753|            
R0302|10001863|     0.0519|     0.0519|            
R0302|10001864|     0.0025|     0.0025|            
R0302|10001865|     0.0031|     0.0031|            
R0302|10001866|     0.0056|     0.0056|            
R0302|10001867|     0.0083|     0.0083|            
R0302|10001868|     0.0145|     0.0145|            
R0302|10001869|     0.0243|     0.0243|            
R0302|10001870|     0.0396|     0.0396|            
R0302|10001871|     0.0603|     0.0603|            
R0302|10001872|     0.0867|     0.0867|            
R0302|10001873|     0.0340|     0.0340|            
R0302|10001874|     0.1194|     0.1188|            
R0302|10001875|     0.0220|     0.0220|            
R0302|10001876|     0.1566|     0.1562|            
