R0402|00001|  77.000|HKD
R0402|00010|  20.650|HKD
R0402|00100|   4.730|HKD
R0402|01000|   1.690|HKD
R0402|10008|   0.097|HKD
R0402|01001|   0.530|HKD
R0402|10012|   0.022|HKD
R0402|10013|   0.142|HKD
R0402|01002|   0.085|HKD
R0402|10022|   0.056|HKD
R0402|10023|   0.086|HKD
R0402|10026|   0.092|HKD
R0402|01003|   1.570|HKD
R0402|10034|   0.010|HKD
R0402|10035|   0.040|HKD
R0402|10036|   0.109|HKD
R0402|10038|   0.126|HKD
R0402|10039|   0.095|HKD
R0402|01004|   0.380|HKD
R0402|10040|   0.016|HKD
R0402|10042|   0.072|HKD
R0402|10044|   0.073|HKD
R0402|10047|   0.148|HKD
R0402|10048|   0.375|HKD
R0402|10049|   0.370|HKD
R0402|01005|   3.720|HKD
R0402|10051|   0.171|HKD
R0402|10052|   0.143|HKD
R0402|10054|   0.173|HKD
R0402|10059|   0.133|HKD
R0402|01006|   2.920|HKD
R0402|10060|   0.011|HKD
R0402|10061|   0.045|HKD
R0402|10062|   0.010|HKD
R0402|10063|   0.012|HKD
R0402|10064|   0.010|HKD
R0402|10065|   0.019|HKD
R0402|10066|   0.154|HKD
R0402|10067|   0.010|HKD
R0402|10068|   0.052|HKD
R0402|10069|   0.010|HKD
R0402|01007|   0.095|HKD
R0402|10070|   0.012|HKD
R0402|10073|   0.129|HKD
R0402|10074|   0.000|HKD
R0402|10075|   0.190|HKD
R0402|10076|   0.340|HKD
R0402|10077|   0.072|HKD
R0402|10078|   0.238|HKD
R0402|10079|   0.013|HKD
R0402|01008|   0.790|HKD
R0402|10080|   0.050|HKD
R0402|10083|   0.151|HKD
R0402|10087|   0.139|HKD
R0402|01009|   0.880|HKD
R0402|00101|  17.640|HKD
R0402|01010|   1.960|HKD
R0402|01011|   0.760|HKD
R0402|01012|   0.000|CAD
R0402|01013|   0.050|HKD
R0402|01019|   0.167|HKD
R0402|00102|   1.610|HKD
R0402|01020|   0.210|HKD
R0402|01021|   3.000|HKD
R0402|01022|   0.240|HKD
R0402|01023|   1.500|HKD
R0402|01025|   0.710|HKD
R0402|01026|   0.230|HKD
R0402|01027|   0.037|HKD
R0402|01028|   0.360|HKD
R0402|01029|   0.224|HKD
R0402|00103|   0.170|HKD
R0402|01030|   9.720|HKD
R0402|01031|   1.560|HKD
R0402|01033|   0.940|HKD
R0402|01034|   0.202|HKD
R0402|01035|   2.190|HKD
R0402|01036|   4.640|HKD
R0402|01037|   0.500|HKD
R0402|01038|  64.000|HKD
R0402|01039|   0.415|HKD
R0402|00104|   0.590|HKD
R0402|01041|   0.235|HKD
R0402|01043|   1.760|HKD
R0402|01044|  58.200|HKD
R0402|01045|   2.830|HKD
R0402|01046|   0.500|HKD
R0402|01047|   0.600|HKD
R0402|01048|   2.950|HKD
R0402|01049|   0.134|HKD
R0402|00105|  22.800|HKD
R0402|01050|   1.130|HKD
R0402|01051|   0.060|HKD
R0402|01052|   6.220|HKD
R0402|01053|   1.080|HKD
R0402|01055|   5.290|HKD
R0402|01057|   1.120|HKD
R0402|01058|   0.550|HKD
R0402|01059|   0.400|HKD
R0402|00106|   0.950|HKD
R0402|01060|   1.670|HKD
R0402|01061|   7.200|HKD
R0402|01062|   0.170|HKD
R0402|01063|   0.018|HKD
R0402|01064|   0.181|HKD
R0402|01065|   2.820|HKD
R0402|01066|   7.500|HKD
R0402|01068|   1.000|HKD
R0402|01069|   0.056|HKD
R0402|00107|   2.380|HKD
R0402|01070|   3.620|HKD
R0402|01071|   3.150|HKD
R0402|01072|   5.260|HKD
R0402|01073|   0.245|HKD
R0402|01075|   0.370|HKD
R0402|01076|   0.175|HKD
R0402|01079|   0.237|HKD
R0402|00108|   1.380|HKD
R0402|01080|   0.105|HKD
R0402|01082|   0.990|HKD
R0402|01083|   6.000|HKD
R0402|01085|   2.280|HKD
R0402|01086|   1.790|HKD
R0402|01087|   0.211|HKD
R0402|01088|  16.860|HKD
R0402|01089|   2.360|HKD
R0402|00109|   0.150|HKD
R0402|01090|   2.000|HKD
R0402|01091|   0.405|HKD
R0402|01093|  12.120|HKD
